"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"204",235,9.10000038146973,623,5021.1201171875,7.25460290908813,3,-31.375,1.08502876758575,4,1,9.86758697880892,50.02773136063
"205",291,9,652,1104.09619140625,6.84265518188477,3,11,3.28786873817444,2,1,9.86801178705042,49.7923199256533
"206",282,9.10000038146973,658,6873.8056640625,7,3,-3.625,0.768499195575714,5,1,9.86998900052767,49.6486118222576
"207",304,9,673,6683.15478515625,7,3,10.25,0.663452684879303,5,1,9.87260887019343,49.6539562758159
"208",322,8.89999961853027,669,3028.62329101562,7,3,2.125,1.1338210105896,2,1,9.87442167646364,49.7740764187231
"209",352,8.80000019073486,688,5489.384765625,7.41601181030273,3,9.75,1.94375014305115,4,1,9.87462734469507,49.6998163327018
"210",173,9.5,603,0,6.32814311981201,3,-30.25,2.14837026596069,6,1,9.87466754920882,49.8376258243492
"211",280,9.19999980926514,658,7738.3115234375,7,3,-4.875,0.635226309299469,8,1,9.87662656394379,49.638968449776
"212",226,9.30000019073486,608,5125.478515625,7.15694618225098,3,-22.125,0.535478413105011,6,1,9.87884247942588,50.0190450842078
"213",320,9,675,7219.64404296875,7,3,17.5,0.355904102325439,6,1,9.8804209607897,49.6660588818116
"214",352,8.69999980926514,697,6011.23095703125,7.66027879714966,3,4.5,2.05590653419495,4,1,9.88130747186873,49.7024115174136
"215",320,9,675,7219.64404296875,7,3,17.5,0.355904102325439,6,1,9.88243925502378,49.6661587563061
"216",274,9.19999980926514,659,8581.6142578125,7,3,-7.5,0.639058411121368,6,1,9.88261652658886,49.624403213752
"217",269,8.89999961853027,645,1512.93835449219,7.59089422225952,3,-3.75,1.28484642505646,4,1,9.88288801310314,49.9746109800759
"218",326,8.89999961853027,668,1853.74938964844,6.97746658325195,3,30.625,0.337406635284424,2,1,9.88524813821822,49.7763876191178
"219",317,8.89999961853027,676,7821.28125,7,3,12.25,0.203256949782372,5,1,9.88629180885547,49.6603753874885
"220",337,8.80000019073486,680,5870.36865234375,7.1239161491394,3,20.875,1.90368008613586,3,1,9.88638012369212,49.7273667843653
